index,raw_title,artist,song,feat,uploader,youtube_url,ziv,smo,google
21,Necry Talkie - You Should Head North MV,Necry Talkie,You Should Head North,,Necry Talkie ,https://www.youtube.com/watch?v=0l-qw9yRFOA,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22You+Should+Head+North%22+Necry+Talkie,https://stepmaniaonline.net/search/title/You%20Should%20Head%20North,https://www.google.com/search?q=Necry+Talkie+You+Should+Head+North+stepmania+simfile+sm+download
22,The Weeknd - Save Your Tears (Official Music Video),The Weeknd,Save Your Tears,,The Weeknd,https://www.youtube.com/watch?v=XXYlFuWEuKI,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Save+Your+Tears%22+The+Weeknd,https://stepmaniaonline.net/search/title/Save%20Your%20Tears,https://www.google.com/search?q=The+Weeknd+Save+Your+Tears+stepmania+simfile+sm+download
23,Quiet resource,,Quiet resource,,Evelyn Stein - Topic,https://www.youtube.com/watch?v=Gn7-Abuh2DE,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Quiet+resource%22,https://stepmaniaonline.net/search/title/Quiet%20resource,https://www.google.com/search?q=Quiet+resource+stepmania+simfile+sm+download
24,Outer Wilds (Main Theme) [Orchestral] - ROZEN,Outer Wilds (Main Theme) [Orchestral],ROZEN,,ROZEN,https://www.youtube.com/watch?v=2XrMRw0Y-io,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22ROZEN%22+Outer+Wilds+%28Main+Theme%29+%5BOrchestral%5D,https://stepmaniaonline.net/search/title/ROZEN,https://www.google.com/search?q=Outer+Wilds+%28Main+Theme%29+%5BOrchestral%5D+ROZEN+stepmania+simfile+sm+download
25,Date,,Date,,RADWIMPS,https://www.youtube.com/watch?v=FtMhJH_rui4,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Date%22,https://stepmaniaonline.net/search/title/Date,https://www.google.com/search?q=Date+stepmania+simfile+sm+download
26,Chocolates and Meteorites - GUMI,Chocolates and Meteorites,GUMI,,monaca:factory,https://www.youtube.com/watch?v=Q_wGP9lX_PQ,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22GUMI%22+Chocolates+and+Meteorites,https://stepmaniaonline.net/search/title/GUMI,https://www.google.com/search?q=Chocolates+and+Meteorites+GUMI+stepmania+simfile+sm+download
27,Creator,,Creator,,Lena Raine,https://www.youtube.com/watch?v=Qtf8YFw8iZg,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Creator%22,https://stepmaniaonline.net/search/title/Creator,https://www.google.com/search?q=Creator+stepmania+simfile+sm+download
28,"Mattyeux, Princess Chelsea - Sometimes (Official Music Video)","Mattyeux, Princess Chelsea",Sometimes,,Mattyeux,https://www.youtube.com/watch?v=xh7AYrl944Y,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Sometimes%22+Mattyeux%2C+Princess+Chelsea,https://stepmaniaonline.net/search/title/Sometimes,https://www.google.com/search?q=Mattyeux%2C+Princess+Chelsea+Sometimes+stepmania+simfile+sm+download
29,Bon Entendeur - Le coup d'soleil (Clip officiel) ft. Emma Peters,Bon Entendeur,Le coup d'soleil (Clip officiel),Emma Peters,Bon Entendeur,https://www.youtube.com/watch?v=SaKFO9p8inA,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Le+coup+d%27soleil+%28Clip+officiel%29%22+Bon+Entendeur,https://stepmaniaonline.net/search/title/Le%20coup%20d%27soleil%20%28Clip%20officiel%29,https://www.google.com/search?q=Bon+Entendeur+Le+coup+d%27soleil+%28Clip+officiel%29+stepmania+simfile+sm+download
30,Laurie Darmon - Laisse-moi t'aimer (clip officiel),Laurie Darmon,Laisse-moi t'aimer (clip officiel),,Laurie Darmon,https://www.youtube.com/watch?v=GKTV6-9ONzE,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Laisse-moi+t%27aimer+%28clip+officiel%29%22+Laurie+Darmon,https://stepmaniaonline.net/search/title/Laisse-moi%20t%27aimer%20%28clip%20officiel%29,https://www.google.com/search?q=Laurie+Darmon+Laisse-moi+t%27aimer+%28clip+officiel%29+stepmania+simfile+sm+download
31,VIDEOCLUB - Amour plastique (clip officiel),VIDEOCLUB,Amour plastique (clip officiel),,Adèle Castillon,https://www.youtube.com/watch?v=5NjJLFI_oYs,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Amour+plastique+%28clip+officiel%29%22+VIDEOCLUB,https://stepmaniaonline.net/search/title/Amour%20plastique%20%28clip%20officiel%29,https://www.google.com/search?q=VIDEOCLUB+Amour+plastique+%28clip+officiel%29+stepmania+simfile+sm+download
32,Jack Stauber - Buttercup | music video,Jack Stauber,Buttercup,,lisuga,https://www.youtube.com/watch?v=eYDI8b5Nn5s,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Buttercup%22+Jack+Stauber,https://stepmaniaonline.net/search/title/Buttercup,https://www.google.com/search?q=Jack+Stauber+Buttercup+stepmania+simfile+sm+download
33,Joji - Gimme Love (Official Video),Joji,Gimme Love,,88rising,https://www.youtube.com/watch?v=jPan651rVMs,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Gimme+Love%22+Joji,https://stepmaniaonline.net/search/title/Gimme%20Love,https://www.google.com/search?q=Joji+Gimme+Love+stepmania+simfile+sm+download
34,Joji -  Glimpse of Us,Joji,Glimpse of Us,,88rising,https://www.youtube.com/watch?v=FvOpPeKSf_4,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Glimpse+of+Us%22+Joji,https://stepmaniaonline.net/search/title/Glimpse%20of%20Us,https://www.google.com/search?q=Joji+Glimpse+of+Us+stepmania+simfile+sm+download
35,Joji - SLOW DANCING IN THE DARK,Joji,SLOW DANCING IN THE DARK,,88rising,https://www.youtube.com/watch?v=K3Qzzggn--s,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22SLOW+DANCING+IN+THE+DARK%22+Joji,https://stepmaniaonline.net/search/title/SLOW%20DANCING%20IN%20THE%20DARK,https://www.google.com/search?q=Joji+SLOW+DANCING+IN+THE+DARK+stepmania+simfile+sm+download
36,tuki.『HYURURIRAPAPPA』Official Music Video,,tuki.『HYURURIRAPAPPA』,,tuki.(17),https://www.youtube.com/watch?v=AOfaWrBwo7I,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22tuki.%E3%80%8EHYURURIRAPAPPA%E3%80%8F%22,https://stepmaniaonline.net/search/title/tuki.%E3%80%8EHYURURIRAPAPPA%E3%80%8F,https://www.google.com/search?q=tuki.%E3%80%8EHYURURIRAPAPPA%E3%80%8F+stepmania+simfile+sm+download
37,悪魔の踊り方 / キタニタツヤ - Devil's Manner / Tatsuya Kitani,悪魔の踊り方 / キタニタツヤ,Devil's Manner / Tatsuya Kitani,,キタニタツヤ / Tatsuya Kitani,https://www.youtube.com/watch?v=v7_Jo4SfICk,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Devil%27s+Manner+%2F+Tatsuya+Kitani%22+%E6%82%AA%E9%AD%94%E3%81%AE%E8%B8%8A%E3%82%8A%E6%96%B9+%2F+%E3%82%AD%E3%82%BF%E3%83%8B%E3%82%BF%E3%83%84%E3%83%A4,https://stepmaniaonline.net/search/title/Devil%27s%20Manner%20Tatsuya%20Kitani,https://www.google.com/search?q=%E6%82%AA%E9%AD%94%E3%81%AE%E8%B8%8A%E3%82%8A%E6%96%B9+%2F+%E3%82%AD%E3%82%BF%E3%83%8B%E3%82%BF%E3%83%84%E3%83%A4+Devil%27s+Manner+%2F+Tatsuya+Kitani+stepmania+simfile+sm+download
38,"ミザン／flower, 歌愛ユキ",,"ミザン／flower, 歌愛ユキ",,SudaKeina Balloon,https://www.youtube.com/watch?v=dA3LyKztYI0,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E3%83%9F%E3%82%B6%E3%83%B3%EF%BC%8Fflower%2C+%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD%22,https://stepmaniaonline.net/search/title/%E3%83%9F%E3%82%B6%E3%83%B3%EF%BC%8Fflower%2C%20%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD,https://www.google.com/search?q=%E3%83%9F%E3%82%B6%E3%83%B3%EF%BC%8Fflower%2C+%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD+stepmania+simfile+sm+download
39,ハイドレンジア - LonePi feat.歌愛ユキ,ハイドレンジア,LonePi feat.歌愛ユキ,,LonePi,https://www.youtube.com/watch?v=65pJPhP1wzw,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22LonePi+feat.%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD%22+%E3%83%8F%E3%82%A4%E3%83%89%E3%83%AC%E3%83%B3%E3%82%B8%E3%82%A2,https://stepmaniaonline.net/search/title/LonePi%20feat.%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD,https://www.google.com/search?q=%E3%83%8F%E3%82%A4%E3%83%89%E3%83%AC%E3%83%B3%E3%82%B8%E3%82%A2+LonePi+feat.%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD+stepmania+simfile+sm+download
